Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
9/28/2016,12.239,13.1857,14.6532,17.2363,328178
9/27/2016,12.449,13.1913,14.2,17.399,300654
9/26/2016,13.721,13.1701,14.2605,17.5182,357687
9/23/2016,11.938,13.1286,14.1977,17.5843,500409
9/22/2016,11.491,13.1983,14.211,17.5879,616669
9/21/2016,12.918,13.2656,14.0537,17.6587,569671
9/20/2016,14.512,13.1873,14.0249,17.6942,305912
9/19/2016,14.138,13.0131,13.8565,17.7579,386094
9/16/2016,13.952,12.8672,13.7959,17.8302,538110
9/15/2016,14.328,12.7699,12.8698,17.7709,735138
9/14/2016,15.869,12.676,12.7901,17.7882,481566
9/13/2016,15.896,12.5117,12.5647,17.7882,522222
9/12/2016,13.823,12.2994,9.5849,17.6445,608100
9/9/2016,15.904,12.1812,7.0715,17.5741,869244
9/8/2016,11.25,11.9658,7.0071,17.7614,309318
9/7/2016,10.744,11.9958,6.981,17.8973,371407
9/6/2016,11.026,12.0231,6.8689,17.9567,297122
9/2/2016,11.772,12.0242,6.9045,17.9818,597036
9/1/2016,12.99,11.9896,6.8457,18.1091,388355
8/31/2016,12.754,11.9342,6.8131,18.3255,401759
8/30/2016,12.351,11.9136,7.2087,18.3432,265030
8/29/2016,12.025,11.9331,7.3331,18.3594,202791
8/26/2016,12.891,11.9111,6.9438,18.4303,692798
8/25/2016,13.332,11.8461,6.9198,18.6757,380404
8/24/2016,12.838,11.8134,7.2435,18.933,512583
8/23/2016,11.35,11.8087,7.282,19.2154,286694
8/22/2016,11.029,11.9009,7.2286,19.5004,319928
8/19/2016,11.22,11.986,7.1676,19.6272,395313
8/18/2016,12.007,12.0394,7.2656,19.6379,303494
8/17/2016,12.448,12.0748,7.6023,19.6361,360731
8/16/2016,12.584,12.0605,7.5849,19.6612,277254
8/15/2016,11.651,12.0682,7.7536,19.6628,244353
8/12/2016,11.459,12.109,7.8537,19.6669,403039
8/11/2016,11.596,12.1635,8.0885,19.7375,270724
8/10/2016,11.849,12.2357,8.1667,19.7584,428336
8/9/2016,11.289,12.3106,8.3737,19.7688,333872
8/8/2016,11.049,12.4047,8.4758,19.7792,270210
8/5/2016,11.081,12.5318,9.0326,19.8398,425964
8/4/2016,11.882,12.6032,9.0348,19.8496,229436
8/3/2016,12.342,12.7211,10.125,19.8504,243919
8/2/2016,12.739,12.8208,9.999,19.8503,420480
8/1/2016,11.587,12.9213,10.072,19.8511,318267
7/29/2016,11.589,13.0568,10.5035,19.8638,428920
7/28/2016,12.679,13.2453,11.3073,19.8644,315623
7/27/2016,12.743,13.4249,12.1336,19.859,414308
7/26/2016,13.194,13.6917,12.9406,19.8632,353271
7/25/2016,12.732,14.1262,16.4588,19.9228,318929
7/22/2016,12.289,14.6103,16.7803,19.9256,420815
7/21/2016,12.714,14.796,16.8489,19.9916,480528
7/20/2016,12.163,15.124,16.6374,19.9813,570422
7/19/2016,12.738,15.3758,17.2522,19.9821,439722
7/18/2016,12.467,15.5656,17.3946,19.9988,425684
7/15/2016,12.547,15.8375,17.7179,20.0174,351242
7/14/2016,13.041,16.066,17.6157,20.0129,419044
7/13/2016,13.348,16.2866,17.7406,20.0139,306087
7/12/2016,13.171,16.4976,17.7557,20.0425,357236
7/11/2016,13.59,16.7083,18.0019,20.0846,389381
7/8/2016,12.509,16.7806,17.6648,20.106,434198
7/7/2016,14.24,16.8046,17.668,20.1395,356781
7/6/2016,14.336,16.7197,17.0597,20.1832,277696
7/5/2016,14.748,16.6332,16.9502,20.1949,263864
7/1/2016,14.298,16.515,16.9627,20.194,372970
6/30/2016,15.359,16.4301,16.8118,20.202,499740
6/29/2016,16.272,16.3011,16.3286,20.1843,484048
6/28/2016,18.077,16.1404,15.4503,20.2015,402312
6/27/2016,21.885,15.8687,14.7385,20.1645,563297
6/24/2016,22.415,15.4216,10.6285,19.8821,699636
6/23/2016,16.002,14.9558,10.2176,19.8633,455487
6/22/2016,19.273,14.8087,11.3428,19.86,258998
6/21/2016,17.201,14.5143,11.3798,19.8709,324347
6/20/2016,16.533,14.4002,10.7189,19.8321,297354
6/17/2016,17.905,14.3223,10.6265,19.8449,469836
6/16/2016,17.116,14.2524,10.3016,19.8246,558655
6/15/2016,17.454,14.1844,11.1172,19.8285,299550
6/14/2016,17.568,14.115,11.4032,19.8464,353842
6/13/2016,17.386,13.9758,11.3112,19.8456,396132
6/10/2016,15.034,13.8953,11.2847,19.8294,569314
6/9/2016,12.99,13.9228,11.4706,19.8498,440836
6/8/2016,12.543,14.0251,12.0003,19.858,188025
6/7/2016,12.606,14.0971,12.0804,19.8733,230123
6/6/2016,12.384,14.2323,12.5446,19.8763,235288
6/3/2016,12.599,14.421,12.5443,19.8797,435448
6/2/2016,12.778,14.6623,12.5387,19.8782,282769
6/1/2016,13.06,14.901,12.7508,19.8829,255377
5/31/2016,12.643,15.0929,12.9944,19.8931,231120
5/27/2016,12.943,15.2431,13.2823,19.8948,356305
5/26/2016,13.099,15.4681,14.0084,19.8964,329056
5/25/2016,13.058,15.6465,14.4177,19.9309,401077
5/24/2016,13.386,15.7622,13.6053,19.8904,393987
5/23/2016,14.918,15.851,13.6134,19.8898,182493
5/20/2016,14.976,15.8468,14.2855,19.8864,485392
5/19/2016,16.508,15.8393,14.1604,19.8855,414964
5/18/2016,15.754,15.7284,14.0478,19.8767,425635
5/17/2016,16.067,15.6503,13.6685,19.845,334285
5/16/2016,14.784,15.5605,13.4849,19.8248,309746
5/13/2016,15.776,15.501,13.4158,19.8441,510025
5/12/2016,15.584,15.4346,13.0775,19.8344,387323
5/11/2016,15.036,15.3994,13.1892,19.8451,357112
5/10/2016,13.983,15.3872,12.9554,19.8227,363392
5/9/2016,15.311,15.4857,13.2339,19.8429,366784
5/6/2016,16.157,15.5627,13.1812,19.826,555516
5/5/2016,17.426,15.5503,13.5469,19.8451,322698
5/4/2016,17.551,15.4918,14.3624,19.8773,401097
5/3/2016,16.899,15.2951,14.3607,19.8703,343880
5/2/2016,15.647,15.2043,14.1777,19.8796,391950
4/29/2016,17.442,15.1027,15.1488,19.8972,940405
4/28/2016,16.667,14.8894,14.4535,19.8689,496639
4/27/2016,15.372,14.7602,14.1236,19.8566,487577
4/26/2016,15.162,14.6708,15.2396,19.8554,262835
4/25/2016,14.834,14.5966,15.2385,19.8844,216231
4/22/2016,14.827,14.6171,14.4921,19.8411,689846
4/21/2016,14.289,14.6413,14.5423,19.8409,340931
4/20/2016,14.193,14.705,14.7373,19.8436,284368
4/19/2016,14.27,14.7332,14.5678,19.8561,383460
4/18/2016,13.594,14.7627,14.3628,19.8791,256115
4/15/2016,14.448,14.8638,14.4766,19.8792,331757
4/14/2016,14.879,14.9381,14.8271,19.8801,411884
4/13/2016,14.793,14.9847,14.6096,19.8715,475918
4/12/2016,15.952,15.1052,14.5006,19.8643,284913
4/11/2016,16.853,15.1659,14.8354,19.8504,456796
4/8/2016,15.907,15.2136,15.5211,19.8368,561207
4/7/2016,16.257,15.3929,15.1468,19.8206,593216
4/6/2016,13.617,15.5889,14.4947,19.7712,403038
4/5/2016,15.082,15.9464,14.5434,19.8005,309059
4/4/2016,13.616,16.1709,14.8182,19.8004,279075
4/1/2016,13.176,16.4416,13.6449,19.7263,487421
3/31/2016,14.083,16.7288,13.8345,19.7392,436535
3/30/2016,13.584,16.9398,15.9385,19.7446,498028
3/29/2016,13.678,17.1835,14.8554,19.6638,389845
3/28/2016,15.243,17.5548,15.125,19.6963,189695
3/24/2016,15.313,17.8404,15.1957,19.8675,291430
3/23/2016,15.562,18.1324,16.8343,19.8646,307448
3/22/2016,14.757,18.4646,17.1183,19.8497,314602
3/21/2016,14.861,18.8806,17.4585,19.8666,299880
3/18/2016,15.615,19.1999,17.6045,19.8651,456285
3/17/2016,15.934,19.5702,18.1754,19.8983,518296
3/16/2016,15.811,19.991,18.7248,19.8825,350306
3/15/2016,17.202,20.4229,19.5018,19.8964,165365
3/14/2016,17.167,20.8463,19.7853,19.8996,227442
3/11/2016,17.808,21.3965,20.2647,19.87,461888
3/10/2016,19.492,22.0784,20.5373,19.8125,561986
3/9/2016,20.176,22.6355,21.9415,19.8534,319463
3/8/2016,20.768,23.2008,23.1589,19.8427,430961
3/7/2016,19.571,23.6786,25.0408,19.848,346077
3/4/2016,19.031,24.0963,25.2223,19.8352,771189
3/3/2016,18.92,24.3424,26.1627,19.8333,343296
3/2/2016,18.304,24.5903,26.6769,19.8318,562634
3/1/2016,18.457,24.8563,25.5553,19.6805,562448
2/29/2016,21.104,25.0007,26.3322,19.6756,361826
2/26/2016,20.955,25.0732,26.8478,19.6615,726878
2/25/2016,21.153,25.28,27.6725,19.6538,413835
2/24/2016,22.207,25.5149,26.7695,19.5234,713035
2/23/2016,23.076,25.623,26.7641,19.4876,434157
2/22/2016,21.246,25.7223,27.5352,19.4681,341292
2/19/2016,23.021,25.8416,27.9386,19.4605,454552
2/18/2016,24.351,26.0626,29.2218,19.4108,551288
2/17/2016,24.449,26.2327,29.5838,19.3416,726138
2/16/2016,25.67,26.3193,30.6355,19.2753,499908
2/12/2016,28.172,26.4095,31.2338,19.259,607966
2/11/2016,31.444,26.2093,32.1272,19.1722,802558
2/10/2016,30.634,25.8932,31.6711,19.1031,574967
2/9/2016,31.483,25.4562,31.1323,18.9563,898660
2/8/2016,30.325,25.0555,30.5395,18.8128,1467334
